ID_Pelanggan,Usia, Pendapatan_Tahunan_Ribuan_Rupiah ,Pengeluaran_Rupiah,Gender
120,50,951400,809400,Wanita
121,27,951400,795200,Pria
122,38,951400,568000,Wanita
123,40,979800,823600,Wanita
124,39,979800,1292200,Pria
125,23,994000,411800,Wanita
126,31,994000,1093400,Wanita
127,43,1008200,497000,Pria
128,40,1008200,1349000,Pria
129,59,1008200,156200,Pria
130,38,1008200,1065000,Pria
131,47,1008200,127800,Pria
132,39,1008200,1065000,Pria
133,25,1022400,482800,Wanita
134,31,1022400,1008200,Wanita
135,20,1036600,71000,Pria
136,29,1036600,1249600,Wanita
137,44,1036600,99400,Wanita
138,32,1036600,1036600,Pria
139,19,1050800,142000,Pria
140,35,1050800,1022400,Wanita
141,57,1065000,71000,Wanita
142,32,1065000,1320600,Pria
143,28,1079200,568000,Wanita
144,32,1079200,1235400,Wanita
145,25,1093400,170400,Pria
146,28,1093400,1377400,Pria
147,48,1093400,511200,Pria
148,32,1093400,1050800,Wanita
149,34,1107600,312400,Wanita
150,34,1107600,1278000,Pria
151,43,1107600,241400,Pria
152,39,1107600,1249600,Pria
153,44,1107600,284000,Wanita
154,38,1107600,1079200,Wanita
155,47,1107600,227200,Wanita
156,27,1107600,1263800,Wanita
157,37,1107600,14200,Pria
158,30,1107600,1107600,Wanita
159,34,1107600,14200,Pria
160,30,1107600,1036600,Wanita
161,56,1121800,497000,Wanita
162,29,1121800,1178600,Wanita
163,19,1150200,71000,Pria
164,31,1150200,1320600,Wanita
165,50,1207000,369200,Pria
166,36,1207000,1065000,Wanita
167,42,1221200,284000,Pria
168,33,1221200,1349000,Wanita
169,36,1235400,383400,Wanita
170,32,1235400,894600,Pria
171,40,1235400,184600,Pria
172,28,1235400,1065000,Pria
173,36,1235400,142000,Pria
174,36,1235400,1306400,Pria
175,52,1249600,184600,Wanita
176,30,1249600,1221200,Wanita
177,58,1249600,213000,Pria
178,27,1249600,979800,Pria
179,59,1320600,198800,Pria
180,35,1320600,1278000,Pria
181,37,1377400,454400,Wanita
182,32,1377400,1221200,Wanita
183,46,1391600,213000,Pria
184,29,1391600,1249600,Wanita
185,41,1405800,553800,Wanita
186,30,1405800,1377400,Pria
187,54,1434200,340800,Wanita
188,28,1434200,965600,Pria
189,41,1462600,241400,Wanita
190,36,1462600,1207000,Wanita
191,34,1462600,326600,Wanita
192,32,1462600,979800,Wanita
193,33,1604600,113600,Pria
194,38,1604600,1292200,Wanita
195,47,1704000,227200,Wanita
196,35,1704000,1121800,Wanita
197,45,1789200,397600,Wanita
198,32,1789200,1050800,Pria
199,32,1945400,255600,Pria
200,30,1945400,1178600,Pria
